2024-06-10 16:28:52	Autoreload is disabled because the development mode is off.
2024-06-10 16:28:53	Application started in 0.896 seconds.
2024-06-10 16:28:54	Responding at http://127.0.0.1:8888
2024-06-10 16:28:56	----------------- NEW EXECUTION-------------------
2024-06-10 16:28:56	SenseUsers	furhatos.event.senses.SenseUsers SenseUsers{event_name=furhatos.event.senses.SenseUsers, event_sessionId=, event_id=0d6abaa1-5b48-460f-839b-0d55bb9c352b, users={user-1=User{mouthOpen=-1.00, gender=NULL, leftEyeClosed=-1.00, happy=0.01, ageDeviation=-1, faceprint=Faceprint{}, neutral=0.41, ageGroup=NULL, angry=0.00, head=BodyPart{location=Location{x=0.48, y=0.05, z=0.86}, rotation=Rotation{x=2.31, y=190.08, z=0.34}}, mouth=NULL, attending=nobody, sad=0.34, spaces=[], rightEyeClosed=-1.00, id=user-1, female=1.00, age=-1, male=0.00, surprised=0.00}}, event_time=2024-06-10 16:28:53.573}
2024-06-10 16:28:56	SenseUsers	furhatos.event.senses.SenseUsers SenseUsers{event_name=furhatos.event.senses.SenseUsers, event_sessionId=, event_id=7d88fef7-e524-4a97-ac50-e1daaa3ea51b, users={user-1=User{mouthOpen=-1.00, gender=NULL, leftEyeClosed=-1.00, happy=0.01, ageDeviation=-1, faceprint=Faceprint{}, neutral=0.42, ageGroup=NULL, angry=0.00, head=BodyPart{location=Location{x=0.48, y=0.05, z=0.86}, rotation=Rotation{x=2.17, y=189.80, z=0.09}}, mouth=NULL, attending=nobody, sad=0.33, spaces=[], rightEyeClosed=-1.00, id=user-1, female=1.00, age=-1, male=0.00, surprised=0.00}}, event_time=2024-06-10 16:28:53.673}
2024-06-10 16:28:56	MonitorGaze	furhatos.event.monitors.MonitorGaze MonitorGaze{event_sessionId=, event_id=47134293-7c50-4da5-b7e4-640771b0dbc7, rotation=Rotation{x=1.20, y=0.00, z=-0.22}, action=b5fdd0fd-609f-4688-a616-0b7194eed442, event_name=furhatos.event.monitors.MonitorGaze, location=Location{x=0.00, y=-0.14, z=1.00}, event_time=2024-06-10 16:28:53.741}
2024-06-10 16:28:56	SenseUsers	furhatos.event.senses.SenseUsers SenseUsers{event_name=furhatos.event.senses.SenseUsers, event_sessionId=, event_id=38cf3d04-5f46-4eb3-b9eb-3083a9d35594, users={user-1=User{mouthOpen=-1.00, gender=NULL, leftEyeClosed=-1.00, happy=0.01, ageDeviation=-1, faceprint=Faceprint{}, neutral=0.42, ageGroup=NULL, angry=0.00, head=BodyPart{location=Location{x=0.48, y=0.05, z=0.86}, rotation=Rotation{x=2.17, y=189.80, z=0.09}}, mouth=NULL, attending=nobody, sad=0.33, spaces=[], rightEyeClosed=-1.00, id=user-1, female=1.00, age=-1, male=0.00, surprised=0.00}}, event_time=2024-06-10 16:28:53.773}
2024-06-10 16:28:56	SenseUsers	furhatos.event.senses.SenseUsers SenseUsers{event_name=furhatos.event.senses.SenseUsers, event_sessionId=, event_id=8d3d5c5f-ee8a-41ec-8d69-debeff594c4d, users={user-1=User{mouthOpen=-1.00, gender=NULL, leftEyeClosed=-1.00, happy=0.01, ageDeviation=-1, faceprint=Faceprint{}, neutral=0.41, ageGroup=NULL, angry=0.00, head=BodyPart{location=Location{x=0.48, y=0.05, z=0.86}, rotation=Rotation{x=2.24, y=190.04, z=0.60}}, mouth=NULL, attending=nobody, sad=0.34, spaces=[], rightEyeClosed=-1.00, id=user-1, female=1.00, age=-1, male=0.00, surprised=0.00}}, event_time=2024-06-10 16:28:53.791}
2024-06-10 16:28:56	SenseUsers	furhatos.event.senses.SenseUsers SenseUsers{event_name=furhatos.event.senses.SenseUsers, event_sessionId=, event_id=46d2fba3-2eb9-42a6-9d07-f0b8498686b1, users={user-1=User{mouthOpen=-1.00, gender=NULL, leftEyeClosed=-1.00, happy=0.01, ageDeviation=-1, faceprint=Faceprint{}, neutral=0.41, ageGroup=NULL, angry=0.00, head=BodyPart{location=Location{x=0.48, y=0.05, z=0.86}, rotation=Rotation{x=2.24, y=190.04, z=0.60}}, mouth=NULL, attending=nobody, sad=0.34, spaces=[], rightEyeClosed=-1.00, id=user-1, female=1.00, age=-1, male=0.00, surprised=0.00}}, event_time=2024-06-10 16:28:53.891}
2024-06-10 16:28:56	SenseUsers	furhatos.event.senses.SenseUsers SenseUsers{event_name=furhatos.event.senses.SenseUsers, event_sessionId=, event_id=e8b51657-0dcb-4609-89dc-ae1fad471f39, users={user-1=User{mouthOpen=-1.00, gender=NULL, leftEyeClosed=-1.00, happy=0.02, ageDeviation=-1, faceprint=Faceprint{}, neutral=0.42, ageGroup=NULL, angry=0.00, head=BodyPart{location=Location{x=0.49, y=0.05, z=0.87}, rotation=Rotation{x=1.88, y=191.02, z=0.96}}, mouth=NULL, attending=nobody, sad=0.31, spaces=[], rightEyeClosed=-1.00, id=user-1, female=1.00, age=-1, male=0.00, surprised=0.00}}, event_time=2024-06-10 16:28:53.905}
2024-06-10 16:28:56	MonitorGaze	furhatos.event.monitors.MonitorGaze MonitorGaze{event_sessionId=, event_id=ea37cd62-9e5d-4661-87ec-0913383531cb, rotation=Rotation{x=3.98, y=0.00, z=-0.57}, action=b5fdd0fd-609f-4688-a616-0b7194eed442, event_name=furhatos.event.monitors.MonitorGaze, location=Location{x=0.00, y=-0.14, z=1.00}, event_time=2024-06-10 16:28:53.908}
2024-06-10 16:28:56	SenseUsers	furhatos.event.senses.SenseUsers SenseUsers{event_name=furhatos.event.senses.SenseUsers, event_sessionId=, event_id=74f9c54a-69d0-46f4-aa3f-7e9ebf768fe1, users={user-1=User{mouthOpen=-1.00, gender=NULL, leftEyeClosed=-1.00, happy=0.02, ageDeviation=-1, faceprint=Faceprint{}, neutral=0.43, ageGroup=NULL, angry=0.00, head=BodyPart{location=Location{x=0.49, y=0.05, z=0.87}, rotation=Rotation{x=2.30, y=190.51, z=0.97}}, mouth=NULL, attending=nobody, sad=0.31, spaces=[], rightEyeClosed=-1.00, id=user-1, female=1.00, age=-1, male=0.00, surprised=0.00}}, event_time=2024-06-10 16:28:53.98}
2024-06-10 16:28:56	MonitorGaze	furhatos.event.monitors.MonitorGaze MonitorGaze{event_sessionId=, event_id=47141816-354d-4baa-ab29-52ceff67e7d0, rotation=Rotation{x=5.41, y=0.00, z=-1.09}, action=b5fdd0fd-609f-4688-a616-0b7194eed442, event_name=furhatos.event.monitors.MonitorGaze, location=Location{x=0.00, y=-0.14, z=1.00}, event_time=2024-06-10 16:28:54.071}
