2024-06-07 15:08:43	Autoreload is disabled because the development mode is off.
2024-06-07 15:08:44	Application started in 0.936 seconds.
2024-06-07 15:08:44	Responding at http://127.0.0.1:8888
2024-06-07 15:52:17	Autoreload is disabled because the development mode is off.
2024-06-07 15:52:18	Application started in 1.602 seconds.
2024-06-07 15:52:19	Responding at http://127.0.0.1:8888
2024-06-07 15:52:26	----------------- NEW EXECUTION-------------------
2024-06-07 15:52:26	MonitorGaze	furhatos.event.monitors.MonitorGaze MonitorGaze{event_sessionId=, event_id=d915ef19-7191-44e7-9862-4f81821e7422, rotation=Rotation{x=7.97, y=0.00, z=0.00}, action=9dadb998-7ed2-4c0a-bc52-bf592dc52286, event_name=furhatos.event.monitors.MonitorGaze, location=Location{x=0.00, y=-0.14, z=1.00}, event_time=2024-06-07 15:52:20.598}
2024-06-07 15:52:26	MonitorGestureStart	furhatos.event.monitors.MonitorGestureStart MonitorGestureStart{event_sessionId=, event_id=0761e1c0-3c84-443c-a640-fb049483c10c, action=3cc19e11-b484-46f7-b7f4-1fce5ab0afe6, event_name=furhatos.event.monitors.MonitorGestureStart, priority=0, event_time=2024-06-07 15:52:24.782}
2024-06-07 15:52:26	MonitorGestureEnd	furhatos.event.monitors.MonitorGestureEnd MonitorGestureEnd{event_sessionId=, event_id=4ebcb159-d0a5-4724-97d7-74ba92fa110f, action=3cc19e11-b484-46f7-b7f4-1fce5ab0afe6, event_name=furhatos.event.monitors.MonitorGestureEnd, completed=true, priority=0, event_time=2024-06-07 15:52:25.187}
2024-06-07 15:52:26	SenseInteractionSpaces	furhatos.event.senses.SenseInteractionSpaces SenseInteractionSpaces{spaces=[Ellipse{name=inner, radiusX=2.00, center=Location{x=0.00, y=0.00, z=0.00}, radiusZ=2.00}, Ellipse{name=outer, radiusX=2.50, center=Location{x=0.00, y=0.00, z=0.00}, radiusZ=2.50}], event_name=furhatos.event.senses.SenseInteractionSpaces, event_sessionId=, event_id=258e6a66-0159-444e-beb0-44d4e8c262d9, event_time=2024-06-07 15:52:26.97}
2024-06-07 15:52:26	ActionConfigRecognizer	furhatos.event.actions.ActionConfigRecognizer ActionConfigRecognizer{event_sessionId=, language=[sv-SE], event_id=626b7909-8a7d-412d-bf86-2e2bf751e433, event_name=furhatos.event.actions.ActionConfigRecognizer, notifyInterface=false, event_time=2024-06-07 15:52:26.984}
2024-06-07 15:52:26	ActionConfigVoice	ActionConfigVoice(name=Elin-Neural (sv-SE) - Amazon Polly, lang=null, gender=null, synthesizerName=null, notifyInterface=false)
2024-06-07 15:52:27	MonitorConfigRecognizer	furhatos.event.monitors.MonitorConfigRecognizer MonitorConfigRecognizer{event_sessionId=, event_id=0e69103f-43d8-4675-88af-24679739a2d8, successfulSave=false, event_name=furhatos.event.monitors.MonitorConfigRecognizer, state=furhatos.event.responses.ResponseRecognizer ResponseRecognizer{azureUseProvisioned=false, event_sessionId=, activeRecognizer=Google, azureRegionProvisioned=, language=sv-SE, interimResults=false, event_id=db991976-0e14-46bc-9dba-e9438a9404fa, googleCredentials={"type":"service_account","project_id":"furhat-customer-1432","private_key_id":"0838d0d4f3bc7a9d7cc33bcba57ba4a686926af1","private_key":"-----BEGIN PRIVATE KEY-----\nMIIEvgIBADANBgkqhkiG9w0BAQEFAASCBKgwggSkAgEAAoIBAQCcgfvRNusGA18S\nveK8AOLfiodA0Uu929xDeJvyRm2Qv+3gvp5Dt1QbcP+d/TQlq2t8m1zc/PZ2q14H\negDYTqMIgFlVfl6vOmCigTrF0ackQWEKXSPLVMGpwWf8kSx1UqTDX4oADZNhNtmF\nKx7oCqQxsCWOHm0Ql9R5bts5Lqc/1Ys+htlNdpiGRvAVZ9f31u4jR26OgqGvRgYk\nYNLW6SPCurRb3gl6iMraI2kUpttzSstgZ7187wEu6/rvSlJLfAiB4C8jP0F4GnMt\nbFMgvXiIAqOqotF0et0qSoijTM2Aum2l77YvQRdzT1PAOF/Et40HkUkBfVTGRvCJ\nQ3KeegFnAgMBAAECggEAB0D5CGXYt8MhPW+imh8aZMz5XtY0gfy2NURaSfzcqChV\nIKUFFdNh6RGwL0TkjVhoF3Ll93IcBD0GEyei8WOXp9W3DkDYp5t3jiCaNj/01LfZ\nBQ9zEMIBZdpKdQjPfDKT42BCt6Tpb0iJBWSNvqh7mrf0zaT4XhwDY4txSrGwW8N5\n7gu8WQfxuevkplaEHmsShsVExLvTgV1TMSC4Pi6finoGpw3IBkJrjWkyZ/+JtfoL\nBU3vPGYXS1JSLtQN25cSmk0Cf2rDh+wlglR5x0/Ac4rb3CkQ+gvtqKJxyopL/FBi\nhVWmyRX/b5+NBhBiY45yVaFHiyQmepzEGB6rhkgNaQKBgQDJsI80ahHUSinozvto\nAP5dmk+g0QT4UFzUKb8Ex06DASZcfYTFzPrq6keC24qzVfy8MuhnhvCVHLEziw+5\no/1YX29mSqWo9DWsOe5x56OV+n9BjhgXk2Ew2eNm42ebyYIlF+2y7Q5PxCECkEGI\ncr8k5eiBuNsDaGwzsT8WjCSyCQKBgQDGptDiY9qGozg+q2tC1oIuswp35qdRXdRf\nlBIpLPygaR9EhQSDr17yXcfwvdr9ot33omW2GJr0p2/1hasCiivd6L3VU1+oYuIW\nAfJt/QHNCWDg/j/fwOnTtagIl+Wn0xXTrqbanZ48JhnTIx6KdkREjxZJFNPoCW1z\nknbB4sAz7wKBgQCXK2fakFn2tPO+lEzpQj1lKQDf92pzN8CsIPIUgdI97MG09ztq\nCl5Tbu/Ui/rkueFpqfp5hjGSgePrTyKlMN31u+pCUFbkUM5d3Tn0U/tPsWZqWzeB\njCx/sgB4oJ+Kq7mJVesKfhWJAecABeGohODxpgTkHgrB/iWDhSlVHAtxCQKBgQCs\nWbcJdFD4V0xJMziQeMPh+HywonGwapQDiNho2RsloY77R90u00yxQyRhfpctT8z9\nOOy+HIL0mQDOJ/bC8VY15eQt3XQ1B/XX2kCXpNeXKPfgvTZ1z04P3J+5NPCPtthN\nHE6vhejvjq8BPIsW3p1ETlCrf2KLAwLvLrfSaAUSCQKBgCr05VvkkpXELhJSK1bK\n5vMzzrFYRvw+BbxBzreFwAfaAKmW5j/Q69ryQ1E8e0dEbgX4xjoMvt/TRXmwDq3Y\nItXa9MA31QBvT4y3CjcNwiTw8MqjvJOfn4z8cMbMXhbAhctlH2KAcsKCMWQue8NV\nb/ub8y4BVj2ul2FdRqeNX1GB\n-----END PRIVATE KEY-----\n","client_email":"furhat-customer2@furhat-customer-1432.iam.gserviceaccount.com","client_id":"101058681745952965717","auth_uri":"https://accounts.google.com/o/oauth2/auth","token_uri":"https://oauth2.googleapis.com/token","auth_provider_x509_cert_url":"https://www.googleapis.com/oauth2/v1/certs","client_x509_cert_url":"https://www.googleapis.com/robot/v1/metadata/x509/furhat-customer2%40furhat-customer-1432.iam.gserviceaccount.com"}, azureRegion=, azureKey=, azureAcceptedRegions=[australiaeast, brazilsouth, canadacentral, centralindia, centralus, eastasia, eastus, eastus2, francecentral, germanywestcentral, japaneast, japanwest, koreacentral, northcentralus, northeurope, norwayeast, southafricanorth, southcentralus, southeastasia, switzerlandnorth, switzerlandwest, uaenorth, uksouth, westcentralus, westeurope, westus, westus2, westus3], event_name=furhatos.event.responses.ResponseRecognizer, phrases=[], event_time=2024-06-07 15:52:27.002}, notifyInterface=false, event_time=2024-06-07 15:52:27.002}
2024-06-07 15:52:27	MonitorConfigVoice	furhatos.event.monitors.MonitorConfigVoice MonitorConfigVoice{event_sessionId=, event_id=2b7d65b2-e27a-4312-b90a-bfb72fc0e98a, successfulSave=true, event_name=furhatos.event.monitors.MonitorConfigVoice, state=furhatos.event.responses.ResponseVoice ResponseVoice{voice=Elin-Neural (sv-SE) - Amazon Polly, event_sessionId=, pollyAuthDetails=SynthesizerAuthDetails{key=AKIAVDDPTMSIKF4OEDND, secret=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 }, event_id=ff4b87de-150a-4a26-8158-bb7ce1add7fc, event_name=furhatos.event.responses.ResponseVoice, event_time=2024-06-07 15:52:27.006, voiceList=[SynthesizerVoice{name=Isabelle-Neural, synthesizer=Amazon Polly, language=fr-BE, uniqueName=Isabelle-Neural (fr-BE) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Danielle-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Danielle-Neural (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Gregory-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Gregory-Neural (en-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Burcu-Neural, synthesizer=Amazon Polly, language=tr-TR, uniqueName=Burcu-Neural (tr-TR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Kevin-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Kevin-Neural (en-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Filiz, synthesizer=Amazon Polly, language=tr-TR, uniqueName=Filiz (tr-TR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Elin-Neural, synthesizer=Amazon Polly, language=sv-SE, uniqueName=Elin-Neural (sv-SE) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Astrid, synthesizer=Amazon Polly, language=sv-SE, uniqueName=Astrid (sv-SE) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Tatyana, synthesizer=Amazon Polly, language=ru-RU, uniqueName=Tatyana (ru-RU) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Maxim, synthesizer=Amazon Polly, language=ru-RU, uniqueName=Maxim (ru-RU) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Carmen, synthesizer=Amazon Polly, language=ro-RO, uniqueName=Carmen (ro-RO) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ines-Neural, synthesizer=Amazon Polly, language=pt-PT, uniqueName=Ines-Neural (pt-PT) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ines, synthesizer=Amazon Polly, language=pt-PT, uniqueName=Ines (pt-PT) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Cristiano, synthesizer=Amazon Polly, language=pt-PT, uniqueName=Cristiano (pt-PT) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Vitoria-Neural, synthesizer=Amazon Polly, language=pt-BR, uniqueName=Vitoria-Neural (pt-BR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Vitoria, synthesizer=Amazon Polly, language=pt-BR, uniqueName=Vitoria (pt-BR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ricardo, synthesizer=Amazon Polly, language=pt-BR, uniqueName=Ricardo (pt-BR) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Camila-Neural, synthesizer=Amazon Polly, language=pt-BR, uniqueName=Camila-Neural (pt-BR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Camila, synthesizer=Amazon Polly, language=pt-BR, uniqueName=Camila (pt-BR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Maja, synthesizer=Amazon Polly, language=pl-PL, uniqueName=Maja (pl-PL) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Jan, synthesizer=Amazon Polly, language=pl-PL, uniqueName=Jan (pl-PL) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Jacek, synthesizer=Amazon Polly, language=pl-PL, uniqueName=Jacek (pl-PL) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Ewa, synthesizer=Amazon Polly, language=pl-PL, uniqueName=Ewa (pl-PL) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ola-Neural, synthesizer=Amazon Polly, language=pl-PL, uniqueName=Ola-Neural (pl-PL) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Lisa-Neural, synthesizer=Amazon Polly, language=nl-BE, uniqueName=Lisa-Neural (nl-BE) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ruben, synthesizer=Amazon Polly, language=nl-NL, uniqueName=Ruben (nl-NL) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Lotte, synthesizer=Amazon Polly, language=nl-NL, uniqueName=Lotte (nl-NL) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Laura-Neural, synthesizer=Amazon Polly, language=nl-NL, uniqueName=Laura-Neural (nl-NL) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ida-Neural, synthesizer=Amazon Polly, language=nb-NO, uniqueName=Ida-Neural (nb-NO) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Liv, synthesizer=Amazon Polly, language=nb-NO, uniqueName=Liv (nb-NO) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Seoyeon-Neural, synthesizer=Amazon Polly, language=ko-KR, uniqueName=Seoyeon-Neural (ko-KR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Seoyeon, synthesizer=Amazon Polly, language=ko-KR, uniqueName=Seoyeon (ko-KR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Kazuha-Neural, synthesizer=Amazon Polly, language=ja-JP, uniqueName=Kazuha-Neural (ja-JP) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Tomoko-Neural, synthesizer=Amazon Polly, language=ja-JP, uniqueName=Tomoko-Neural (ja-JP) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Takumi-Neural, synthesizer=Amazon Polly, language=ja-JP, uniqueName=Takumi-Neural (ja-JP) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Takumi, synthesizer=Amazon Polly, language=ja-JP, uniqueName=Takumi (ja-JP) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Mizuki, synthesizer=Amazon Polly, language=ja-JP, uniqueName=Mizuki (ja-JP) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Bianca-Neural, synthesizer=Amazon Polly, language=it-IT, uniqueName=Bianca-Neural (it-IT) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Bianca, synthesizer=Amazon Polly, language=it-IT, uniqueName=Bianca (it-IT) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Giorgio, synthesizer=Amazon Polly, language=it-IT, uniqueName=Giorgio (it-IT) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Carla, synthesizer=Amazon Polly, language=it-IT, uniqueName=Carla (it-IT) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Karl, synthesizer=Amazon Polly, language=is-IS, uniqueName=Karl (is-IS) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Dora, synthesizer=Amazon Polly, language=is-IS, uniqueName=Dora (is-IS) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Mathieu, synthesizer=Amazon Polly, language=fr-FR, uniqueName=Mathieu (fr-FR) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Lea-Neural, synthesizer=Amazon Polly, language=fr-FR, uniqueName=Lea-Neural (fr-FR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Lea, synthesizer=Amazon Polly, language=fr-FR, uniqueName=Lea (fr-FR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Celine, synthesizer=Amazon Polly, language=fr-FR, uniqueName=Celine (fr-FR) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Chantal, synthesizer=Amazon Polly, language=fr-CA, uniqueName=Chantal (fr-CA) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Gabrielle-Neural, synthesizer=Amazon Polly, language=fr-CA, uniqueName=Gabrielle-Neural (fr-CA) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Penelope, synthesizer=Amazon Polly, language=es-US, uniqueName=Penelope (es-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Miguel, synthesizer=Amazon Polly, language=es-US, uniqueName=Miguel (es-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Lupe-Neural, synthesizer=Amazon Polly, language=es-US, uniqueName=Lupe-Neural (es-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Lupe, synthesizer=Amazon Polly, language=es-US, uniqueName=Lupe (es-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Mia-Neural, synthesizer=Amazon Polly, language=es-MX, uniqueName=Mia-Neural (es-MX) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Mia, synthesizer=Amazon Polly, language=es-MX, uniqueName=Mia (es-MX) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Lucia-Neural, synthesizer=Amazon Polly, language=es-ES, uniqueName=Lucia-Neural (es-ES) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Lucia, synthesizer=Amazon Polly, language=es-ES, uniqueName=Lucia (es-ES) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Enrique, synthesizer=Amazon Polly, language=es-ES, uniqueName=Enrique (es-ES) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Conchita, synthesizer=Amazon Polly, language=es-ES, uniqueName=Conchita (es-ES) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Geraint, synthesizer=Amazon Polly, language=en-GB-WLS, uniqueName=Geraint (en-GB-WLS) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Salli-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Salli-Neural (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Salli, synthesizer=Amazon Polly, language=en-US, uniqueName=Salli (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Matthew-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Matthew-Neural (en-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Matthew, synthesizer=Amazon Polly, language=en-US, uniqueName=Matthew (en-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Kimberly-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Kimberly-Neural (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Kimberly, synthesizer=Amazon Polly, language=en-US, uniqueName=Kimberly (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Kendra-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Kendra-Neural (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Kendra, synthesizer=Amazon Polly, language=en-US, uniqueName=Kendra (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Justin-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Justin-Neural (en-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Justin, synthesizer=Amazon Polly, language=en-US, uniqueName=Justin (en-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Joey-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Joey-Neural (en-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Joey, synthesizer=Amazon Polly, language=en-US, uniqueName=Joey (en-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Joanna-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Joanna-Neural (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Joanna, synthesizer=Amazon Polly, language=en-US, uniqueName=Joanna (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ivy-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Ivy-Neural (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ivy, synthesizer=Amazon Polly, language=en-US, uniqueName=Ivy (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Aria-Neural, synthesizer=Amazon Polly, language=en-NZ, uniqueName=Aria-Neural (en-NZ) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ayanda-Neural, synthesizer=Amazon Polly, language=en-ZA, uniqueName=Ayanda-Neural (en-ZA) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Raveena, synthesizer=Amazon Polly, language=en-IN, uniqueName=Raveena (en-IN) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Aditi, synthesizer=Amazon Polly, language=en-IN, uniqueName=Aditi (en-IN) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Emma-Neural, synthesizer=Amazon Polly, language=en-GB, uniqueName=Emma-Neural (en-GB) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Emma, synthesizer=Amazon Polly, language=en-GB, uniqueName=Emma (en-GB) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Brian-Neural, synthesizer=Amazon Polly, language=en-GB, uniqueName=Brian-Neural (en-GB) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Brian, synthesizer=Amazon Polly, language=en-GB, uniqueName=Brian (en-GB) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Amy-Neural, synthesizer=Amazon Polly, language=en-GB, uniqueName=Amy-Neural (en-GB) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Amy, synthesizer=Amazon Polly, language=en-GB, uniqueName=Amy (en-GB) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Russell, synthesizer=Amazon Polly, language=en-AU, uniqueName=Russell (en-AU) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Nicole, synthesizer=Amazon Polly, language=en-AU, uniqueName=Nicole (en-AU) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Olivia-Neural, synthesizer=Amazon Polly, language=en-AU, uniqueName=Olivia-Neural (en-AU) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Vicki-Neural, synthesizer=Amazon Polly, language=de-DE, uniqueName=Vicki-Neural (de-DE) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Vicki, synthesizer=Amazon Polly, language=de-DE, uniqueName=Vicki (de-DE) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Marlene, synthesizer=Amazon Polly, language=de-DE, uniqueName=Marlene (de-DE) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Hans, synthesizer=Amazon Polly, language=de-DE, uniqueName=Hans (de-DE) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Naja, synthesizer=Amazon Polly, language=da-DK, uniqueName=Naja (da-DK) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Mads, synthesizer=Amazon Polly, language=da-DK, uniqueName=Mads (da-DK) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Sofie-Neural, synthesizer=Amazon Polly, language=da-DK, uniqueName=Sofie-Neural (da-DK) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Gwyneth, synthesizer=Amazon Polly, language=cy-GB, uniqueName=Gwyneth (cy-GB) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Zhiyu-Neural, synthesizer=Amazon Polly, language=zh-CN, uniqueName=Zhiyu-Neural (zh-CN) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Zhiyu, synthesizer=Amazon Polly, language=zh-CN, uniqueName=Zhiyu (zh-CN) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Zeina, synthesizer=Amazon Polly, language=arb, uniqueName=Zeina (arb) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Hala-Neural, synthesizer=Amazon Polly, language=ar-AE, uniqueName=Hala-Neural (ar-AE) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Arlet-Neural, synthesizer=Amazon Polly, language=ca-ES, uniqueName=Arlet-Neural (ca-ES) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Hannah-Neural, synthesizer=Amazon Polly, language=de-AT, uniqueName=Hannah-Neural (de-AT) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Ruth-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Ruth-Neural (en-US) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Stephen-Neural, synthesizer=Amazon Polly, language=en-US, uniqueName=Stephen-Neural (en-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Kajal-Neural, synthesizer=Amazon Polly, language=en-IN, uniqueName=Kajal-Neural (en-IN) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Hiujin-Neural, synthesizer=Amazon Polly, language=yue-CN, uniqueName=Hiujin-Neural (yue-CN) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Suvi-Neural, synthesizer=Amazon Polly, language=fi-FI, uniqueName=Suvi-Neural (fi-FI) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Niamh-Neural, synthesizer=Amazon Polly, language=en-IE, uniqueName=Niamh-Neural (en-IE) - Amazon Polly, gender=FEMALE}, SynthesizerVoice{name=Arthur-Neural, synthesizer=Amazon Polly, language=en-GB, uniqueName=Arthur-Neural (en-GB) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Daniel-Neural, synthesizer=Amazon Polly, language=de-DE, uniqueName=Daniel-Neural (de-DE) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Liam-Neural, synthesizer=Amazon Polly, language=fr-CA, uniqueName=Liam-Neural (fr-CA) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Pedro-Neural, synthesizer=Amazon Polly, language=es-US, uniqueName=Pedro-Neural (es-US) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Sergio-Neural, synthesizer=Amazon Polly, language=es-ES, uniqueName=Sergio-Neural (es-ES) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Andres-Neural, synthesizer=Amazon Polly, language=es-MX, uniqueName=Andres-Neural (es-MX) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Remi-Neural, synthesizer=Amazon Polly, language=fr-FR, uniqueName=Remi-Neural (fr-FR) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Adriano-Neural, synthesizer=Amazon Polly, language=it-IT, uniqueName=Adriano-Neural (it-IT) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Thiago-Neural, synthesizer=Amazon Polly, language=pt-BR, uniqueName=Thiago-Neural (pt-BR) - Amazon Polly, gender=MALE}, SynthesizerVoice{name=Zayd-Neural, synthesizer=Amazon Polly, language=ar-AE, uniqueName=Zayd-Neural (ar-AE) - Amazon Polly, gender=MALE}]}, notifyInterface=false, event_time=2024-06-07 15:52:27.006}
2024-06-07 15:52:27	FlowEvent	NEW_FLOW_STATE	Sleep	0.0		UNSET	Sleep
2024-06-07 15:52:27	ActionLogExtended	furhatos.event.actions.ActionLogExtended ActionLogExtended{timeStamp=1717768347065, event_sessionId=, event_id=3fb36cf7-fcdd-4ab2-bd1c-4f6f82a31cfe, log=GenericRecord:548 - Could not convert class furhatos.flow.kotlin.State to JSON
